Cross_ID,Cross_Date,Year,Program,Female_Parent,Male_Parent,Crossing_Location,Researcher,Seeds_Harvested,Germination_Rate,F1_Plants,Cross_Type,Purpose,Success_Rating,Notes
2019_MR4_C0023,2019-03-05,2019,MR4,MR4_P76,MR4_P87,Roma,Dr. Thomas,81,0.74,33,Backcross,Quality Enhancement,Fair,Cross targeting disease resistance
2019_MR1_C0024,2019-07-20,2019,MR1,MR1_P24,MR1_P81,Dalby,Dr. Wilson,123,0.71,20,Double,Climate Adaptation,Good,Cross targeting yield
2019_MR4_C0025,2019-07-12,2019,MR4,MR4_P96,MR4_P89,Emerald,Dr. Wilson,99,0.95,84,Single,Yield Improvement,Poor,Cross targeting yield
2019_MR2_C0026,2019-04-13,2019,MR2,MR2_P18,MR2_P26,Gatton,Dr. Taylor,98,0.74,98,Three-way,Quality Enhancement,Poor,Cross targeting drought tolerance
2019_MR3_C0027,2019-03-23,2019,MR3,MR3_P78,MR3_P100,Hermitage,Dr. Anderson,137,0.98,26,Double,Climate Adaptation,Excellent,Cross targeting disease resistance
2019_MR4_C0028,2019-03-06,2019,MR4,MR4_P74,MR4_P27,Roma,Dr. Davis,22,0.94,85,Double,Climate Adaptation,Poor,Cross targeting yield
2019_MR4_C0029,2019-03-20,2019,MR4,MR4_P67,MR4_P10,Warwick,Dr. Davis,65,0.88,18,Backcross,Disease Resistance,Poor,Cross targeting yield
2019_MR1_C0030,2019-07-26,2019,MR1,MR1_P14,MR1_P93,Hermitage,Dr. Smith,54,0.97,56,Single,Yield Improvement,Excellent,Cross targeting yield
2019_MR1_C0031,2019-03-07,2019,MR1,MR1_P3,MR1_P36,Emerald,Dr. Davis,143,0.85,78,Three-way,Climate Adaptation,Fair,Cross targeting quality
2019_MR2_C0032,2019-08-24,2019,MR2,MR2_P53,MR2_P73,Warwick,Dr. Wilson,55,0.74,17,Backcross,Disease Resistance,Poor,Cross targeting yield
2019_MR3_C0033,2019-03-18,2019,MR3,MR3_P20,MR3_P93,Gatton,Dr. Wilson,145,0.77,105,Backcross,Climate Adaptation,Excellent,Cross targeting drought tolerance
2019_MR3_C0034,2019-08-02,2019,MR3,MR3_P25,MR3_P99,Goondiwindi,Dr. Thomas,107,0.77,54,Three-way,Quality Enhancement,Poor,Cross targeting disease resistance
2019_MR2_C0035,2019-06-28,2019,MR2,MR2_P36,MR2_P67,Roma,Dr. Thomas,119,0.87,77,Double,Yield Improvement,Fair,Cross targeting quality
2019_MR3_C0036,2019-06-12,2019,MR3,MR3_P17,MR3_P78,Kingaroy,Dr. Smith,101,0.74,26,Three-way,Disease Resistance,Fair,Cross targeting quality
2019_MR1_C0037,2019-04-19,2019,MR1,MR1_P21,MR1_P78,Goondiwindi,Dr. Brown,41,0.74,97,Double,Quality Enhancement,Good,Cross targeting yield
2019_MR1_C0038,2019-05-06,2019,MR1,MR1_P95,MR1_P84,Goondiwindi,Dr. Anderson,50,0.79,11,Double,Yield Improvement,Poor,Cross targeting yield
2019_MR2_C0039,2019-04-05,2019,MR2,MR2_P4,MR2_P49,Warwick,Dr. Wilson,144,0.95,83,Double,Quality Enhancement,Excellent,Cross targeting drought tolerance
2019_MR4_C0040,2019-05-19,2019,MR4,MR4_P40,MR4_P84,Dalby,Dr. Davis,38,0.86,42,Single,Disease Resistance,Poor,Cross targeting quality
2019_MR1_C0041,2019-03-06,2019,MR1,MR1_P93,MR1_P17,Hermitage,Dr. Davis,57,0.81,91,Double,Climate Adaptation,Poor,Cross targeting drought tolerance
2019_MR3_C0042,2019-08-18,2019,MR3,MR3_P92,MR3_P93,Roma,Dr. Taylor,22,0.86,109,Single,Disease Resistance,Fair,Cross targeting quality
2019_MR4_C0043,2019-06-06,2019,MR4,MR4_P79,MR4_P14,Warwick,Dr. Brown,12,0.76,22,Three-way,Climate Adaptation,Good,Cross targeting quality
2019_MR1_C0044,2019-08-08,2019,MR1,MR1_P13,MR1_P5,Kingaroy,Dr. Wilson,121,0.86,24,Three-way,Climate Adaptation,Excellent,Cross targeting quality
2019_MR4_C0045,2019-08-06,2019,MR4,MR4_P48,MR4_P43,Emerald,Dr. Taylor,45,0.9,91,Single,Disease Resistance,Poor,Cross targeting yield
2019_MR3_C0046,2019-03-23,2019,MR3,MR3_P62,MR3_P88,Emerald,Dr. Taylor,122,0.77,55,Three-way,Disease Resistance,Poor,Cross targeting yield
2019_MR3_C0047,2019-07-21,2019,MR3,MR3_P96,MR3_P87,Roma,Dr. Taylor,90,0.92,61,Three-way,Yield Improvement,Fair,Cross targeting disease resistance
2019_MR2_C0048,2019-08-08,2019,MR2,MR2_P77,MR2_P98,Goondiwindi,Dr. Davis,120,0.84,8,Single,Quality Enhancement,Poor,Cross targeting yield
2019_MR3_C0049,2019-08-23,2019,MR3,MR3_P24,MR3_P9,Roma,Dr. Davis,73,0.72,95,Three-way,Disease Resistance,Excellent,Cross targeting disease resistance
2019_MR2_C0050,2019-06-12,2019,MR2,MR2_P9,MR2_P84,Goondiwindi,Dr. Smith,52,0.87,77,Single,Yield Improvement,Good,Cross targeting disease resistance
2019_MR1_C0051,2019-05-12,2019,MR1,MR1_P44,MR1_P39,Goondiwindi,Dr. Davis,92,0.81,12,Double,Disease Resistance,Poor,Cross targeting disease resistance
2019_MR1_C0052,2019-03-11,2019,MR1,MR1_P66,MR1_P75,Emerald,Dr. Davis,94,0.92,16,Backcross,Yield Improvement,Good,Cross targeting disease resistance
2019_MR2_C0053,2019-07-21,2019,MR2,MR2_P79,MR2_P43,Emerald,Dr. Taylor,67,0.71,70,Double,Quality Enhancement,Poor,Cross targeting yield
2019_MR2_C0054,2019-03-27,2019,MR2,MR2_P4,MR2_P12,Hermitage,Dr. Smith,30,0.72,24,Single,Quality Enhancement,Fair,Cross targeting quality
2019_MR2_C0055,2019-04-28,2019,MR2,MR2_P25,MR2_P41,Kingaroy,Dr. Anderson,53,0.93,18,Single,Climate Adaptation,Poor,Cross targeting quality
2019_MR4_C0056,2019-07-04,2019,MR4,MR4_P78,MR4_P14,Emerald,Dr. Wilson,79,0.92,93,Double,Climate Adaptation,Good,Cross targeting disease resistance
2019_MR4_C0057,2019-03-12,2019,MR4,MR4_P18,MR4_P40,Hermitage,Dr. Johnson,37,0.77,50,Three-way,Yield Improvement,Excellent,Cross targeting drought tolerance
2019_MR3_C0058,2019-07-18,2019,MR3,MR3_P33,MR3_P90,Dalby,Dr. Thomas,141,0.79,60,Three-way,Yield Improvement,Good,Cross targeting quality
2019_MR4_C0059,2019-03-23,2019,MR4,MR4_P81,MR4_P16,Hermitage,Dr. Smith,126,0.9,111,Single,Climate Adaptation,Good,Cross targeting drought tolerance
2019_MR3_C0060,2019-06-14,2019,MR3,MR3_P8,MR3_P24,Roma,Dr. Thomas,10,0.84,12,Backcross,Disease Resistance,Poor,Cross targeting disease resistance
2019_MR3_C0061,2019-04-16,2019,MR3,MR3_P69,MR3_P40,Emerald,Dr. Smith,49,0.88,9,Backcross,Climate Adaptation,Fair,Cross targeting yield
2019_MR4_C0062,2019-03-17,2019,MR4,MR4_P57,MR4_P54,Roma,Dr. Anderson,76,0.86,57,Backcross,Quality Enhancement,Fair,Cross targeting quality
2019_MR1_C0063,2019-05-02,2019,MR1,MR1_P9,MR1_P32,Emerald,Dr. Brown,112,0.85,37,Three-way,Yield Improvement,Poor,Cross targeting disease resistance
2019_MR3_C0064,2019-08-19,2019,MR3,MR3_P17,MR3_P55,Emerald,Dr. Johnson,34,0.97,57,Three-way,Quality Enhancement,Good,Cross targeting quality
2019_MR1_C0065,2019-03-24,2019,MR1,MR1_P65,MR1_P41,Kingaroy,Dr. Wilson,144,0.83,117,Three-way,Disease Resistance,Fair,Cross targeting disease resistance
2019_MR2_C0066,2019-05-17,2019,MR2,MR2_P7,MR2_P60,Hermitage,Dr. Smith,90,0.88,21,Double,Quality Enhancement,Excellent,Cross targeting quality
2019_MR3_C0067,2019-06-24,2019,MR3,MR3_P68,MR3_P49,Gatton,Dr. Wilson,73,0.94,109,Double,Quality Enhancement,Excellent,Cross targeting quality
2019_MR4_C0068,2019-07-24,2019,MR4,MR4_P97,MR4_P90,Hermitage,Dr. Davis,135,0.92,116,Double,Yield Improvement,Good,Cross targeting quality
2019_MR1_C0069,2019-03-19,2019,MR1,MR1_P9,MR1_P83,Kingaroy,Dr. Johnson,67,0.83,52,Backcross,Yield Improvement,Fair,Cross targeting disease resistance
2019_MR4_C0070,2019-03-21,2019,MR4,MR4_P27,MR4_P54,Gatton,Dr. Brown,137,0.81,36,Double,Yield Improvement,Excellent,Cross targeting disease resistance
2019_MR1_C0071,2019-04-27,2019,MR1,MR1_P13,MR1_P31,Dalby,Dr. Johnson,88,0.77,118,Backcross,Disease Resistance,Fair,Cross targeting quality
2019_MR2_C0072,2019-07-28,2019,MR2,MR2_P24,MR2_P21,Roma,Dr. Thomas,24,0.84,77,Three-way,Yield Improvement,Poor,Cross targeting disease resistance
2019_MR2_C0073,2019-04-05,2019,MR2,MR2_P17,MR2_P23,Hermitage,Dr. Smith,59,0.72,76,Backcross,Disease Resistance,Fair,Cross targeting drought tolerance
2019_MR3_C0074,2019-07-03,2019,MR3,MR3_P54,MR3_P71,Goondiwindi,Dr. Anderson,50,0.76,109,Backcross,Climate Adaptation,Good,Cross targeting disease resistance
2019_MR3_C0075,2019-05-25,2019,MR3,MR3_P95,MR3_P17,Roma,Dr. Thomas,131,0.88,87,Three-way,Yield Improvement,Poor,Cross targeting quality
2019_MR2_C0076,2019-03-20,2019,MR2,MR2_P32,MR2_P2,Hermitage,Dr. Brown,74,0.85,48,Double,Disease Resistance,Excellent,Cross targeting quality
2019_MR4_C0077,2019-03-22,2019,MR4,MR4_P3,MR4_P92,Dalby,Dr. Taylor,84,0.71,98,Three-way,Quality Enhancement,Fair,Cross targeting drought tolerance
2019_MR3_C0078,2019-06-20,2019,MR3,MR3_P2,MR3_P88,Emerald,Dr. Davis,16,0.89,16,Single,Quality Enhancement,Excellent,Cross targeting yield
2019_MR4_C0079,2019-04-18,2019,MR4,MR4_P26,MR4_P44,Kingaroy,Dr. Davis,133,0.72,84,Single,Climate Adaptation,Good,Cross targeting quality
2019_MR4_C0080,2019-08-15,2019,MR4,MR4_P15,MR4_P72,Goondiwindi,Dr. Taylor,22,0.78,27,Backcross,Quality Enhancement,Fair,Cross targeting disease resistance
2019_MR2_C0081,2019-07-16,2019,MR2,MR2_P67,MR2_P64,Goondiwindi,Dr. Davis,38,0.73,112,Single,Yield Improvement,Poor,Cross targeting disease resistance
2019_MR4_C0082,2019-07-18,2019,MR4,MR4_P47,MR4_P100,Roma,Dr. Brown,28,0.83,31,Backcross,Disease Resistance,Excellent,Cross targeting disease resistance
2019_MR2_C0083,2019-05-20,2019,MR2,MR2_P11,MR2_P50,Dalby,Dr. Wilson,79,0.79,106,Double,Climate Adaptation,Excellent,Cross targeting yield
2019_MR2_C0084,2019-03-23,2019,MR2,MR2_P22,MR2_P89,Goondiwindi,Dr. Anderson,123,0.86,20,Single,Quality Enhancement,Good,Cross targeting yield
2019_MR4_C0085,2019-05-27,2019,MR4,MR4_P73,MR4_P41,Emerald,Dr. Davis,20,0.91,50,Double,Yield Improvement,Excellent,Cross targeting drought tolerance
2019_MR4_C0086,2019-07-08,2019,MR4,MR4_P68,MR4_P36,Warwick,Dr. Wilson,149,0.76,33,Three-way,Quality Enhancement,Fair,Cross targeting quality
2019_MR4_C0087,2019-08-14,2019,MR4,MR4_P77,MR4_P24,Emerald,Dr. Taylor,65,0.88,18,Backcross,Disease Resistance,Fair,Cross targeting quality
2019_MR4_C0088,2019-07-02,2019,MR4,MR4_P49,MR4_P22,Hermitage,Dr. Thomas,78,0.91,44,Single,Yield Improvement,Fair,Cross targeting yield
2019_MR1_C0089,2019-08-25,2019,MR1,MR1_P36,MR1_P30,Kingaroy,Dr. Thomas,134,0.98,56,Three-way,Disease Resistance,Good,Cross targeting yield
2019_MR4_C0090,2019-07-22,2019,MR4,MR4_P69,MR4_P90,Gatton,Dr. Davis,144,0.89,87,Double,Climate Adaptation,Excellent,Cross targeting yield
2019_MR4_C0091,2019-07-23,2019,MR4,MR4_P71,MR4_P17,Emerald,Dr. Brown,75,0.74,67,Backcross,Disease Resistance,Excellent,Cross targeting yield
