Cross_ID,Cross_Date,Year,Program,Female_Parent,Male_Parent,Crossing_Location,Researcher,Seeds_Harvested,Germination_Rate,F1_Plants,Cross_Type,Purpose,Success_Rating,Notes
2019_MR2_C0073,2019-04-05,2019,MR2,MR2_P17,MR2_P23,Hermitage,Dr. Smith,59,0.72,76,Backcross,Disease Resistance,Fair,Cross targeting drought tolerance
2019_MR3_C0074,2019-07-03,2019,MR3,MR3_P54,MR3_P71,Goondiwindi,Dr. Anderson,50,0.76,109,Backcross,Climate Adaptation,Good,Cross targeting disease resistance
2019_MR3_C0075,2019-05-25,2019,MR3,MR3_P95,MR3_P17,Roma,Dr. Thomas,131,0.88,87,Three-way,Yield Improvement,Poor,Cross targeting quality
2019_MR2_C0076,2019-03-20,2019,MR2,MR2_P32,MR2_P2,Hermitage,Dr. Brown,74,0.85,48,Double,Disease Resistance,Excellent,Cross targeting quality
2019_MR4_C0077,2019-03-22,2019,MR4,MR4_P3,MR4_P92,Dalby,Dr. Taylor,84,0.71,98,Three-way,Quality Enhancement,Fair,Cross targeting drought tolerance
2019_MR3_C0078,2019-06-20,2019,MR3,MR3_P2,MR3_P88,Emerald,Dr. Davis,16,0.89,16,Single,Quality Enhancement,Excellent,Cross targeting yield
2019_MR4_C0079,2019-04-18,2019,MR4,MR4_P26,MR4_P44,Kingaroy,Dr. Davis,133,0.72,84,Single,Climate Adaptation,Good,Cross targeting quality
2019_MR4_C0080,2019-08-15,2019,MR4,MR4_P15,MR4_P72,Goondiwindi,Dr. Taylor,22,0.78,27,Backcross,Quality Enhancement,Fair,Cross targeting disease resistance
2019_MR2_C0081,2019-07-16,2019,MR2,MR2_P67,MR2_P64,Goondiwindi,Dr. Davis,38,0.73,112,Single,Yield Improvement,Poor,Cross targeting disease resistance
2019_MR4_C0082,2019-07-18,2019,MR4,MR4_P47,MR4_P100,Roma,Dr. Brown,28,0.83,31,Backcross,Disease Resistance,Excellent,Cross targeting disease resistance
2019_MR2_C0083,2019-05-20,2019,MR2,MR2_P11,MR2_P50,Dalby,Dr. Wilson,79,0.79,106,Double,Climate Adaptation,Excellent,Cross targeting yield
2019_MR2_C0084,2019-03-23,2019,MR2,MR2_P22,MR2_P89,Goondiwindi,Dr. Anderson,123,0.86,20,Single,Quality Enhancement,Good,Cross targeting yield
2019_MR4_C0085,2019-05-27,2019,MR4,MR4_P73,MR4_P41,Emerald,Dr. Davis,20,0.91,50,Double,Yield Improvement,Excellent,Cross targeting drought tolerance
2019_MR4_C0086,2019-07-08,2019,MR4,MR4_P68,MR4_P36,Warwick,Dr. Wilson,149,0.76,33,Three-way,Quality Enhancement,Fair,Cross targeting quality
2019_MR4_C0087,2019-08-14,2019,MR4,MR4_P77,MR4_P24,Emerald,Dr. Taylor,65,0.88,18,Backcross,Disease Resistance,Fair,Cross targeting quality
2019_MR4_C0088,2019-07-02,2019,MR4,MR4_P49,MR4_P22,Hermitage,Dr. Thomas,78,0.91,44,Single,Yield Improvement,Fair,Cross targeting yield
2019_MR1_C0089,2019-08-25,2019,MR1,MR1_P36,MR1_P30,Kingaroy,Dr. Thomas,134,0.98,56,Three-way,Disease Resistance,Good,Cross targeting yield
2019_MR4_C0090,2019-07-22,2019,MR4,MR4_P69,MR4_P90,Gatton,Dr. Davis,144,0.89,87,Double,Climate Adaptation,Excellent,Cross targeting yield
2019_MR4_C0091,2019-07-23,2019,MR4,MR4_P71,MR4_P17,Emerald,Dr. Brown,75,0.74,67,Backcross,Disease Resistance,Excellent,Cross targeting yield
2019_MR3_C0092,2019-08-09,2019,MR3,MR3_P52,MR3_P84,Roma,Dr. Wilson,65,0.93,54,Backcross,Disease Resistance,Fair,Cross targeting quality
2019_MR2_C0093,2019-06-04,2019,MR2,MR2_P16,MR2_P73,Gatton,Dr. Wilson,123,0.98,91,Three-way,Yield Improvement,Excellent,Cross targeting drought tolerance
2019_MR4_C0094,2019-06-13,2019,MR4,MR4_P86,MR4_P48,Gatton,Dr. Brown,109,0.81,51,Double,Disease Resistance,Poor,Cross targeting yield
2019_MR4_C0095,2019-07-01,2019,MR4,MR4_P12,MR4_P16,Roma,Dr. Thomas,23,0.89,75,Backcross,Disease Resistance,Excellent,Cross targeting quality
2019_MR2_C0096,2019-04-16,2019,MR2,MR2_P58,MR2_P22,Roma,Dr. Brown,102,0.75,58,Double,Climate Adaptation,Poor,Cross targeting quality
2019_MR2_C0097,2019-08-12,2019,MR2,MR2_P13,MR2_P44,Kingaroy,Dr. Johnson,52,0.9,80,Single,Climate Adaptation,Good,Cross targeting drought tolerance
2019_MR1_C0098,2019-06-28,2019,MR1,MR1_P86,MR1_P40,Emerald,Dr. Taylor,112,0.84,76,Three-way,Quality Enhancement,Poor,Cross targeting quality
2019_MR1_C0099,2019-06-14,2019,MR1,MR1_P55,MR1_P72,Goondiwindi,Dr. Wilson,35,0.82,64,Single,Quality Enhancement,Excellent,Cross targeting quality
2019_MR2_C0100,2019-06-11,2019,MR2,MR2_P39,MR2_P97,Goondiwindi,Dr. Smith,28,0.97,32,Three-way,Climate Adaptation,Fair,Cross targeting disease resistance
2019_MR4_C0101,2019-04-24,2019,MR4,MR4_P94,MR4_P32,Hermitage,Dr. Davis,22,0.85,57,Backcross,Quality Enhancement,Excellent,Cross targeting quality
2019_MR4_C0102,2019-07-13,2019,MR4,MR4_P53,MR4_P6,Emerald,Dr. Taylor,107,0.95,111,Double,Quality Enhancement,Good,Cross targeting disease resistance
2019_MR4_C0103,2019-03-13,2019,MR4,MR4_P82,MR4_P3,Goondiwindi,Dr. Smith,39,0.86,74,Backcross,Disease Resistance,Poor,Cross targeting yield
